No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
216,전북,익산역,익산역,10.3,13.7,10.4,11.4,11.4,11.4,14.7
217,전북,전주동부,전주동부,2.0,4.4,4.8,4.8,3.0,7.7,7.7
218,전북,전주서부,전주서부,2.0,2.0,0.0,0.0,0.0,0.0,3.0
219,전북,전주한옥마을,전주한옥마을,0.0,15.7,0.0,0.0,0.0,0.0,0.0
220,전북,정읍중심,정읍중심,13.9,13.9,13.9,15.9,16.3,16.8,15.1
221,전남,전남,전남,7.1,7.5,8.4,9.8,10.0,11.1,10.6
222,전남,광양읍,광양읍,7.2,14.2,15.1,8.1,12.9,9.4,11.6
223,전남,광양중동,광양중동,0.0,0.0,0.0,0.0,0.0,0.0,12.9
224,전남,나주구시가지,나주구시가지,3.2,3.2,3.2,3.2,0.6,0.6,0.6
225,전남,목포구도심,목포구도심,12.2,12.2,12.2,12.5,12.5,13.9,15.7
226,전남,무선지구,무선지구,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,전남,순천법원,순천법원,0.0,0.0,0.0,2.8,0.0,13.7,7.4
228,전남,순천원도심,순천원도심,15.0,14.1,14.1,15.1,15.1,11.3,10.5
229,전남,여수여문,여수여문,5.2,8.1,8.1,5.5,3.5,3.5,3.5
230,전남,여수원도심,여수원도심,6.8,6.8,12.9,35.1,35.1,35.1,21.6
231,전남,여수학동,여수학동,2.4,0.0,2.0,2.0,2.0,2.0,0.0
232,전남,조례,조례,9.7,9.7,10.3,11.4,13.7,7.7,7.1
233,전남,하당신도심,하당신도심,14.0,14.0,18.1,14.0,14.0,31.0,35.4
234,경북,경북,경북,7.6,7.8,8.1,8.8,9.6,9.8,9.7
235,경북,가흥택지개발지구,가흥택지개발지구,7.8,7.9,7.9,6.3,6.3,6.3,6.3
236,경북,경산시청,경산시청,1.9,0.0,0.0,0.0,0.0,8.0,5.6
237,경북,경주도심,경주도심,25.1,25.1,25.1,22.0,24.4,21.5,21.5
238,경북,구미산업단지,구미산업단지,12.0,12.0,12.0,15.2,15.9,19.1,19.1
239,경북,구미선주원남동,구미선주원남동,4.0,4.0,4.0,4.0,4.0,0.9,0.0
240,경북,구미역,구미역,4.8,4.8,4.8,12.7,11.9,8.1,8.6
241,경북,문경점촌흥덕,문경점촌흥덕,12.0,12.1,12.1,15.6,18.2,18.2,18.5
242,경북,상주동문동,상주동문동,16.6,16.6,23.6,25.0,28.0,28.0,28.4
243,경북,안동구도심,안동구도심,7.4,6.4,6.4,5.4,6.4,6.9,6.9
244,경북,양덕동,양덕동,10.9,17.7,18.1,18.1,16.1,16.1,11.3
245,경북,영일대해수욕장,영일대해수욕장,0.0,0.0,2.8,0.0,0.0,0.0,0.0
246,경북,영주중앙,영주중앙,16.7,2.6,2.6,2.6,16.1,23.5,19.8
247,경북,옥동사거리,옥동사거리,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,경북,포항원도심,포항원도심,0.9,0.9,0.9,0.9,1.9,1.9,3.5
249,경북,포항중앙,포항중앙,16.3,19.6,16.0,19.0,18.8,17.6,17.6
250,경북,포항효자동,포항효자동,3.4,3.4,5.6,0.0,0.0,0.0,0.0
251,경북,황리단길,황리단길,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,경남,경남,경남,6.1,6.7,8.4,9.4,9.6,8.8,8.6
253,경남,거제고현,거제고현,3.9,6.1,12.4,14.1,16.3,15.5,15.5
254,경남,거제옥포,거제옥포,10.7,12.9,16.3,17.2,15.6,16.9,19.4
255,경남,김해시청/동상시장,김해시청/동상시장,7.3,7.3,7.3,12.5,12.5,10.6,10.6
